Log_ID,Student_ID,Week,Login_Count,Dashboard_Clicks,Time_Spent,Date
L1384,S3834,8,2,11,109,8/24/2025
L1385,S11272,15,4,33,26,4/6/2024
L1386,S12229,11,7,10,118,2/27/2025
L1387,S14617,7,8,25,67,12/30/2024
L1388,S12929,11,1,17,101,10/27/2024
L1389,S3823,13,2,27,61,2/18/2024
L1390,S2590,14,8,27,112,2/5/2024
L1391,S1704,11,2,40,113,5/11/2025
L1392,S3892,11,3,37,53,3/3/2024
L1393,S9097,10,1,14,52,11/23/2024
L1394,S13369,1,5,12,17,4/6/2025
L1395,S4523,13,3,35,71,4/21/2024
L1396,S10948,13,5,43,87,11/12/2024
L1397,S7695,16,4,35,24,5/30/2025
L1398,S1681,4,1,11,75,5/28/2024
L1399,S3141,7,7,49,91,2/20/2024
L1400,S8339,7,3,13,81,3/23/2024
L1401,S2412,4,3,20,105,1/26/2024
L1402,S10683,3,3,42,118,4/20/2025
L1403,S1779,12,9,45,106,9/20/2025
L1404,S3583,7,9,28,107,7/12/2025
L1405,S1897,1,9,11,37,6/2/2025
L1406,S7648,1,2,16,72,5/15/2024
L1407,S5033,16,1,38,82,8/7/2025
L1408,S13200,15,7,39,24,4/10/2025
L1409,S3831,9,1,24,35,3/16/2024
L1410,S5774,9,8,11,33,6/24/2024
L1411,S2537,6,6,35,48,7/12/2024
L1412,S4364,6,5,10,115,8/2/2024
L1413,S2876,4,5,15,117,1/12/2024
L1414,S13378,4,7,32,13,8/21/2025
L1415,S8213,10,5,14,56,8/13/2025
L1416,S13366,14,9,20,78,7/28/2024
L1417,S14769,14,5,48,33,6/25/2024
L1418,S3204,5,4,6,24,7/20/2025
L1419,S12739,15,1,37,97,3/18/2025
L1420,S13381,11,2,31,66,3/26/2025
L1421,S3818,16,8,30,59,5/14/2024
L1422,S7054,2,9,8,58,10/18/2024
L1423,S3770,16,3,16,21,2/21/2025
L1424,S6077,9,7,10,61,9/3/2024
L1425,S7470,5,4,42,76,6/20/2024
L1426,S12364,14,1,27,14,7/26/2024
L1427,S6121,9,2,28,58,1/13/2025
L1428,S11051,7,8,10,40,11/28/2024
L1429,S8540,14,2,43,102,9/9/2024
L1430,S12339,13,5,33,26,4/30/2024
L1431,S6723,5,3,19,110,7/24/2024
L1432,S9199,12,3,27,73,5/16/2024
L1433,S14775,1,2,39,102,8/29/2025
L1434,S5112,10,8,31,22,1/10/2025
L1435,S7368,13,2,24,21,7/18/2025
L1436,S8064,14,6,25,72,9/30/2024
L1437,S11146,8,6,14,118,3/31/2025
L1438,S6181,14,8,38,32,3/29/2024
L1439,S5688,15,4,45,119,12/15/2024
L1440,S8545,5,9,22,22,10/10/2024
L1441,S8902,11,9,26,108,9/1/2025
L1442,S4090,14,8,33,64,5/19/2024
L1443,S3425,10,6,34,11,7/20/2024
L1444,S6353,4,1,40,39,6/7/2024
L1445,S4686,12,5,45,97,8/25/2025
L1446,S7273,13,5,45,56,2/14/2025
L1447,S6698,14,7,17,96,12/15/2024
L1448,S4619,16,1,7,19,3/12/2024
L1449,S10538,7,4,39,54,4/2/2025
L1450,S3844,1,3,34,108,1/9/2025
L1451,S12718,3,2,24,87,10/30/2024
L1452,S8233,10,2,21,99,5/22/2024
L1453,S5240,8,2,39,59,12/7/2024
L1454,S8552,11,5,48,38,11/11/2024
L1455,S6970,8,1,48,27,5/27/2025
L1456,S3218,10,8,31,52,2/2/2025
L1457,S13807,3,6,14,42,3/19/2024
L1458,S5357,9,2,44,56,7/23/2024
L1459,S8475,5,5,21,115,5/19/2024
L1460,S11070,1,3,12,33,1/13/2025
L1461,S5772,14,6,19,92,3/1/2025
L1462,S9839,11,9,10,60,1/15/2024
L1463,S5891,1,7,9,33,6/2/2024
L1464,S14140,4,5,45,108,9/14/2025
L1465,S2270,10,4,25,12,6/20/2025
L1466,S9085,11,1,32,56,5/20/2025
L1467,S2031,13,4,18,18,1/9/2024
L1468,S1144,10,9,30,34,9/28/2025
L1469,S1288,3,8,6,48,10/14/2024
L1470,S6951,1,3,45,21,2/16/2025
L1471,S9316,1,4,26,55,1/24/2025
L1472,S4268,9,5,11,40,11/4/2024
L1473,S2600,3,8,30,71,6/13/2024
L1474,S1439,12,4,12,57,8/2/2025
L1475,S13762,13,8,9,25,7/28/2025
L1476,S9951,5,5,8,103,8/26/2025
L1477,S3635,7,1,34,84,7/14/2025
L1478,S10112,4,4,38,105,1/9/2025
L1479,S4072,16,2,27,99,6/22/2025
L1480,S14964,1,5,27,44,7/12/2025
L1481,S4494,5,8,44,71,2/8/2024
L1482,S12203,6,9,13,75,4/27/2025
L1483,S10915,3,5,29,86,3/15/2024
L1484,S10454,5,6,43,28,8/14/2024
L1485,S2867,13,7,25,74,11/4/2024
L1486,S12276,13,3,48,90,5/13/2024
L1487,S1920,8,7,25,112,8/5/2025
L1488,S11150,5,8,42,43,12/4/2024
L1489,S14659,1,4,20,49,8/1/2025
L1490,S3910,9,3,40,77,12/17/2024
L1491,S12219,4,1,11,92,9/25/2025
L1492,S5583,12,3,6,70,5/24/2025
L1493,S4351,13,8,15,32,4/28/2024
L1494,S11667,16,6,6,38,1/21/2024
L1495,S13685,7,4,22,71,3/1/2025
L1496,S7857,6,4,40,96,9/19/2025
L1497,S13116,9,4,45,88,2/6/2025
L1498,S14249,6,4,15,105,12/29/2024
L1499,S2313,12,6,19,47,7/3/2024
L1500,S5649,12,7,16,106,1/24/2024
L1501,S8697,3,5,49,93,1/2/2024
L1502,S3206,9,7,15,105,2/10/2025
L1503,S7169,13,4,8,87,3/21/2024
L1504,S9990,2,4,21,84,4/25/2024
L1505,S7387,3,3,41,96,10/18/2024
L1506,S2281,8,2,8,108,5/24/2024
L1507,S9381,12,1,12,102,2/6/2024
L1508,S14068,11,4,32,57,11/7/2024
L1509,S5291,1,1,16,105,3/22/2024
L1510,S7920,4,5,45,58,3/24/2024
L1511,S8700,9,7,40,31,7/23/2024
L1512,S2414,14,5,12,99,4/7/2025
L1513,S10484,8,8,22,105,1/19/2025
L1514,S3169,7,9,28,46,7/14/2025
L1515,S14220,4,2,41,25,2/6/2024
L1516,S3323,9,1,43,28,8/7/2024
L1517,S4254,5,7,21,36,5/10/2024
L1518,S2786,3,6,7,85,1/14/2025
L1519,S9589,1,5,40,84,4/14/2024
L1520,S13762,11,2,20,116,4/8/2024
L1521,S13727,13,4,31,107,1/27/2024
L1522,S14551,7,2,18,100,10/7/2025
L1523,S6736,2,5,41,89,11/7/2024
L1524,S6640,10,8,46,41,1/18/2024
L1525,S10266,6,3,24,17,1/27/2025
L1526,S3127,15,9,14,102,4/22/2024
L1527,S14224,4,4,34,48,12/4/2024
L1528,S1970,16,7,17,63,12/6/2024
L1529,S3511,14,3,36,29,9/16/2025
L1530,S10379,14,3,21,80,4/1/2025
L1531,S2207,10,1,18,109,9/7/2025
L1532,S3840,5,5,14,30,3/25/2025
L1533,S4574,4,7,29,80,4/14/2024
L1534,S10970,13,1,22,13,4/26/2025
L1535,S2223,14,1,40,31,1/27/2025
L1536,S5072,13,1,30,67,2/23/2025
L1537,S10286,12,1,10,92,11/30/2024
L1538,S1843,4,3,17,11,1/17/2024
L1539,S11840,9,2,32,116,12/8/2024
L1540,S11168,12,6,46,50,6/30/2025
L1541,S13704,9,6,38,81,10/8/2025
L1542,S5207,1,2,20,70,9/8/2025
L1543,S10008,13,8,40,61,3/19/2024
L1544,S13373,6,4,26,84,11/6/2024
L1545,S3769,4,4,43,113,3/24/2024
L1546,S14200,3,5,38,67,8/26/2025
L1547,S4860,14,2,27,28,4/2/2025
L1548,S5374,5,4,37,36,6/28/2025
L1549,S1387,8,3,15,46,6/25/2024
L1550,S3188,3,2,25,51,4/12/2025
L1551,S11609,11,6,29,70,11/15/2024
L1552,S13588,3,8,8,105,8/22/2024
L1553,S14007,2,4,44,43,6/14/2025
L1554,S4102,4,6,32,63,1/14/2025
L1555,S8383,11,7,43,12,10/14/2024
L1556,S9807,5,9,32,31,4/14/2025
L1557,S14262,9,6,21,93,9/14/2025
L1558,S1408,3,3,48,59,3/17/2025
L1559,S12513,16,5,38,87,8/29/2025
L1560,S4392,16,6,46,114,9/16/2024
L1561,S10762,5,8,33,111,8/16/2025
L1562,S2452,4,4,36,69,6/18/2025
L1563,S3502,9,4,10,68,4/3/2025
L1564,S10915,8,7,14,111,1/27/2025
L1565,S5032,13,6,37,89,9/18/2025
L1566,S1422,13,3,25,98,2/3/2024
L1567,S1642,16,6,12,91,5/17/2024
L1568,S8814,11,1,39,37,1/14/2025
L1569,S2240,6,3,8,75,12/11/2024
L1570,S5215,12,9,43,14,6/22/2025
L1571,S3378,15,6,29,92,8/4/2025
L1572,S1891,12,3,24,102,7/3/2024
L1573,S6745,11,2,10,25,11/2/2024
L1574,S13623,9,2,24,35,2/18/2024
L1575,S7847,9,5,5,64,6/5/2024
L1576,S4962,7,7,47,66,9/26/2024
L1577,S11296,15,2,40,87,4/26/2025
L1578,S4598,14,8,31,93,8/15/2025
L1579,S11971,11,9,27,70,5/13/2024
L1580,S3226,12,8,13,78,6/20/2024
L1581,S6543,2,9,46,67,5/27/2025
L1582,S10045,13,7,8,56,7/27/2025
L1583,S9422,13,2,22,80,7/28/2025
L1584,S4019,4,1,19,34,6/14/2024
L1585,S13444,1,3,14,19,4/2/2024
L1586,S4911,14,5,21,110,12/31/2024
L1587,S7870,8,6,46,24,9/12/2025
L1588,S2700,1,1,44,78,3/31/2025
L1589,S12365,13,7,24,119,1/25/2024
L1590,S8856,1,6,29,75,10/6/2024
L1591,S1353,11,7,13,33,5/23/2024
L1592,S13218,16,2,48,74,8/28/2025
L1593,S2779,14,4,35,45,4/20/2025
L1594,S1557,3,4,36,31,2/16/2024
L1595,S4782,1,2,6,82,12/28/2024
L1596,S3513,4,3,13,47,9/11/2025
L1597,S1855,3,3,24,110,3/11/2024
L1598,S13945,14,8,13,65,10/19/2025
L1599,S7646,3,3,49,72,4/16/2025
L1600,S5561,3,8,37,86,7/11/2025
L1601,S8396,3,4,11,90,1/15/2024
L1602,S1504,7,8,10,37,6/17/2025
L1603,S3028,1,5,10,105,8/11/2024
L1604,S14446,10,4,25,88,12/2/2024
L1605,S3127,6,1,48,49,12/27/2024
L1606,S9643,13,6,21,58,8/10/2025
L1607,S2496,3,2,8,26,11/5/2024
L1608,S9157,16,2,42,93,12/16/2024
L1609,S12410,16,9,23,119,4/1/2025
L1610,S6800,13,9,8,36,8/25/2024
L1611,S2150,2,1,28,118,11/27/2024
L1612,S14376,4,2,28,25,6/9/2024
L1613,S5946,5,2,16,91,2/22/2024
L1614,S4553,6,1,37,14,4/6/2024
L1615,S1462,10,6,35,103,4/18/2024
L1616,S10974,8,8,13,51,12/30/2024
L1617,S3536,11,4,26,58,9/29/2025
L1618,S4437,7,5,37,91,6/18/2025
L1619,S6852,6,4,14,33,4/11/2024
L1620,S4998,14,9,6,20,12/24/2024
L1621,S5900,11,4,8,18,10/11/2024
L1622,S14206,11,5,24,31,7/12/2024
L1623,S1354,12,8,12,43,10/25/2024
L1624,S8259,6,9,46,88,3/23/2024
L1625,S3268,5,1,37,66,2/28/2025
L1626,S7082,3,1,29,92,6/23/2025
L1627,S7240,10,2,11,13,6/29/2024
L1628,S1857,10,1,45,74,5/11/2025
L1629,S4106,16,1,13,113,2/8/2024
L1630,S7253,2,7,8,82,4/25/2025
L1631,S4027,2,2,34,80,8/21/2024
L1632,S4902,12,2,49,62,5/13/2024
L1633,S6417,1,6,9,88,9/17/2024
L1634,S11687,3,7,10,77,6/18/2024
L1635,S11557,12,4,7,64,8/20/2025
L1636,S2682,14,6,11,103,5/2/2024
L1637,S4125,4,1,39,110,1/26/2025
L1638,S11072,11,2,30,118,5/8/2025
L1639,S10771,13,5,5,65,11/17/2024
L1640,S9206,16,4,33,53,1/8/2024
L1641,S14620,6,2,35,24,1/31/2025
L1642,S9850,10,4,15,105,10/9/2024
L1643,S5073,11,8,17,26,5/13/2025
L1644,S1389,11,7,6,66,8/10/2024
L1645,S5143,13,6,37,51,3/18/2025
L1646,S9830,10,4,25,13,5/7/2024
L1647,S4255,1,4,27,47,10/9/2024
L1648,S3939,8,8,14,28,5/10/2025
L1649,S11879,6,4,12,28,3/29/2025
L1650,S9292,12,9,45,87,2/26/2024
L1651,S3242,2,8,41,11,4/30/2024
L1652,S13465,4,7,45,98,7/2/2025
L1653,S2177,16,2,35,73,3/2/2024
L1654,S6563,2,7,39,107,3/8/2024
L1655,S12166,11,5,29,44,7/4/2024
L1656,S12660,11,6,44,23,1/29/2025
L1657,S6614,2,6,14,88,1/9/2024
L1658,S11162,8,3,11,44,6/25/2025
L1659,S7385,1,3,18,36,4/14/2025
L1660,S7617,2,1,20,69,7/30/2025
L1661,S4918,3,7,23,112,9/17/2025
L1662,S6909,1,6,11,117,8/25/2025
L1663,S6059,12,7,19,89,1/4/2025
L1664,S12501,10,1,42,10,9/21/2024
L1665,S2523,11,9,33,22,5/28/2024
L1666,S10158,7,7,43,74,4/11/2024
L1667,S8589,12,1,31,101,12/21/2024
L1668,S6961,4,1,37,73,7/6/2025
L1669,S10015,7,4,31,111,1/19/2024
L1670,S9996,2,4,39,93,3/18/2025
L1671,S4111,6,9,49,81,8/17/2024
L1672,S1671,3,2,37,27,3/29/2024
L1673,S10825,14,4,30,43,8/19/2024
L1674,S13918,15,2,36,17,3/21/2024
L1675,S11717,15,5,8,10,5/15/2025
L1676,S12870,7,3,46,17,8/11/2024
L1677,S12157,7,2,35,44,10/16/2024
L1678,S9230,8,7,31,35,7/24/2025
L1679,S8264,6,7,16,94,7/19/2025
L1680,S8977,11,7,27,17,11/13/2024
L1681,S7546,9,9,23,49,6/8/2024
L1682,S11936,9,3,6,84,5/22/2024
L1683,S9781,3,2,43,111,9/13/2024
L1684,S7995,1,2,28,30,7/6/2025
L1685,S6415,10,3,15,71,12/15/2024
L1686,S1930,4,7,14,91,8/16/2024
L1687,S3920,12,4,23,15,3/10/2024
L1688,S11122,13,7,26,11,9/28/2024
L1689,S9008,12,9,48,95,11/7/2024
L1690,S11880,14,4,46,107,7/27/2025
L1691,S5204,1,3,5,14,4/30/2024
L1692,S12570,9,8,10,105,2/23/2025
L1693,S14924,14,4,46,36,7/11/2025
L1694,S12136,10,2,12,71,5/24/2024
L1695,S5751,11,8,6,67,2/18/2024
L1696,S12015,12,5,47,96,7/18/2025
L1697,S14758,14,2,37,64,3/1/2024
L1698,S5465,4,1,41,32,2/10/2025
L1699,S7731,4,3,20,100,12/27/2024
L1700,S5164,16,8,46,89,4/29/2025
L1701,S10792,9,7,26,82,7/15/2025
L1702,S10784,1,2,28,91,4/4/2025
L1703,S11838,16,8,5,87,4/16/2024
L1704,S11724,3,4,30,85,10/28/2024
L1705,S14082,5,9,30,104,10/19/2024
L1706,S4558,6,3,21,22,7/10/2025
L1707,S7879,6,8,21,119,12/15/2024
L1708,S14312,7,8,11,54,8/27/2024
L1709,S3457,11,9,32,33,7/6/2025
L1710,S9075,10,5,41,100,9/17/2025
L1711,S14036,6,1,6,52,9/1/2024
L1712,S10159,2,5,41,14,8/2/2025
L1713,S2941,2,4,6,57,6/15/2024
L1714,S13835,14,4,42,95,9/7/2025
L1715,S9797,14,1,47,78,5/30/2025
L1716,S13756,16,3,36,109,9/3/2024
L1717,S14868,3,4,40,105,1/24/2024
L1718,S4539,2,6,32,24,6/23/2024
L1719,S14488,12,1,37,69,9/9/2025
L1720,S3259,11,7,17,62,8/6/2024
L1721,S9416,3,3,15,86,11/11/2024
L1722,S2794,9,9,34,80,5/13/2025
L1723,S1201,8,7,31,80,5/18/2024
L1724,S14020,5,3,45,72,10/1/2024
L1725,S13674,13,8,16,46,9/7/2024
L1726,S13576,13,4,15,79,3/29/2024
L1727,S8125,12,9,43,105,6/18/2025
L1728,S12436,16,3,6,28,5/8/2024
L1729,S4778,1,2,40,103,2/22/2024
L1730,S2491,9,3,46,105,10/1/2025
L1731,S13433,9,1,33,108,6/15/2024
L1732,S2934,8,2,33,64,7/29/2025
L1733,S14705,1,3,28,105,8/1/2024
L1734,S12486,13,5,20,91,4/18/2025
L1735,S2133,9,4,9,75,9/20/2024
L1736,S14274,4,7,31,74,12/24/2024
L1737,S3879,7,2,32,61,11/1/2024
L1738,S8832,14,9,46,116,4/29/2024
L1739,S3316,12,9,40,34,5/30/2024
L1740,S1827,13,3,24,73,4/16/2025
L1741,S5066,5,3,22,19,2/7/2025
L1742,S4980,5,7,24,95,2/21/2024
L1743,S10204,10,9,7,100,8/21/2025
L1744,S2143,12,8,9,111,3/31/2025
L1745,S5797,12,9,14,113,8/28/2025
L1746,S3050,13,8,49,109,6/19/2025
L1747,S7273,1,2,18,73,1/15/2024
L1748,S2633,12,5,21,10,4/24/2024
L1749,S14698,14,8,45,19,4/2/2025
L1750,S3201,2,8,19,26,9/26/2024
L1751,S10556,16,6,19,30,1/3/2024
L1752,S13844,15,3,49,92,10/22/2024
L1753,S5542,4,3,15,76,5/29/2024
L1754,S1276,2,9,47,88,1/20/2025
L1755,S3963,9,4,37,113,3/23/2024
L1756,S9528,2,9,43,73,5/28/2025
L1757,S13407,4,7,6,22,7/14/2025
L1758,S9776,13,3,13,62,10/12/2025
L1759,S4657,2,2,8,56,4/3/2024
L1760,S11570,8,1,35,99,8/16/2024
L1761,S4361,12,7,6,107,8/17/2024
L1762,S14249,15,5,37,55,2/10/2024
L1763,S6806,13,8,12,47,12/18/2024
L1764,S4656,5,2,29,101,10/7/2025
L1765,S12736,11,1,41,119,10/11/2024
L1766,S4896,15,9,47,42,2/4/2024
L1767,S4103,11,7,5,52,11/7/2024
L1768,S12429,11,1,24,97,4/6/2024
L1769,S11101,3,9,25,85,2/23/2025
L1770,S13446,15,6,30,48,2/8/2025
L1771,S1548,9,1,8,42,7/15/2025
L1772,S9147,2,9,6,117,3/5/2024
L1773,S4079,5,4,49,102,2/2/2024
L1774,S8188,14,2,25,25,3/3/2024
L1775,S9481,8,4,37,87,8/31/2024
L1776,S3168,3,2,28,94,11/14/2024
L1777,S14703,13,1,39,45,2/27/2025
L1778,S7381,7,1,26,98,5/24/2024
L1779,S6305,7,9,11,49,4/14/2025
L1780,S3710,2,5,26,95,9/11/2025
L1781,S3744,2,7,6,68,6/23/2024
L1782,S6664,8,1,49,14,8/28/2025
L1783,S1640,10,5,9,86,8/3/2025
L1784,S4577,13,5,46,63,9/22/2025
L1785,S3731,9,2,36,65,7/23/2024
L1786,S7806,4,5,16,66,7/25/2024
L1787,S6941,3,7,6,42,6/5/2024
L1788,S14673,7,6,43,83,7/31/2024
L1789,S8963,13,4,37,46,2/7/2024
L1790,S14827,4,9,34,17,2/22/2025
L1791,S7193,9,4,31,76,9/19/2025
L1792,S8469,4,9,21,86,8/11/2025
L1793,S8248,15,3,12,102,4/28/2025
L1794,S14031,4,2,38,82,5/24/2024
L1795,S14921,5,4,40,86,8/15/2024
L1796,S6510,10,9,44,33,5/28/2025
L1797,S6453,7,9,28,75,8/2/2024
L1798,S6345,11,6,43,84,12/24/2024
L1799,S12283,13,7,48,109,3/6/2025
L1800,S9459,9,2,17,73,8/30/2024
L1801,S11626,7,5,5,58,5/10/2025
L1802,S10706,9,7,45,105,9/8/2024
L1803,S10361,14,2,14,103,6/22/2024
L1804,S5769,4,5,45,47,8/13/2025
L1805,S7182,12,8,49,111,10/7/2025
L1806,S5432,10,1,41,70,6/17/2024
L1807,S9883,10,4,36,112,9/6/2024
L1808,S14151,1,2,28,89,1/17/2025
L1809,S8086,15,9,12,89,2/23/2024
L1810,S10037,4,9,16,29,9/14/2025
L1811,S11673,4,5,13,22,5/14/2024
L1812,S7144,8,8,21,70,3/14/2025
L1813,S13870,3,2,18,64,10/28/2024
L1814,S7814,2,2,41,59,8/23/2024
L1815,S13110,9,1,43,103,9/11/2025
L1816,S10039,9,6,26,17,9/3/2025
L1817,S13951,14,2,7,102,9/20/2024
L1818,S1023,15,2,30,28,8/2/2025
L1819,S12021,16,4,24,67,1/12/2025
L1820,S14129,2,1,36,23,6/6/2024
L1821,S6397,14,2,6,39,6/1/2024
L1822,S12722,8,3,9,110,10/8/2024
L1823,S10801,10,2,49,57,8/28/2025
L1824,S13142,8,1,41,60,2/11/2025
L1825,S3852,9,5,17,83,1/29/2025
L1826,S8158,5,7,39,55,6/25/2024
L1827,S8000,9,2,34,29,1/13/2025
L1828,S4488,6,5,32,93,9/2/2025
L1829,S2313,1,1,30,110,2/22/2025
L1830,S1458,8,7,29,51,2/25/2024
L1831,S10519,3,2,35,68,8/6/2024
L1832,S4257,9,7,38,27,5/4/2024
L1833,S10618,7,9,26,35,1/20/2025
L1834,S2384,6,5,5,113,11/5/2024
L1835,S5535,16,1,11,110,7/7/2024
L1836,S2256,13,8,26,39,4/21/2024
L1837,S14342,7,5,12,57,3/14/2024
L1838,S9942,3,7,10,25,11/4/2024
L1839,S6454,10,3,39,116,6/30/2024
L1840,S5283,14,7,23,90,5/12/2025
L1841,S1212,10,7,37,92,5/1/2025
L1842,S5709,11,1,26,19,1/28/2025
L1843,S11394,16,2,25,51,6/16/2024
L1844,S4789,12,7,6,38,7/20/2024
L1845,S9782,13,2,12,36,3/14/2025
L1846,S13812,16,7,38,118,4/21/2025
L1847,S7090,13,5,30,61,3/30/2025
L1848,S9818,4,3,42,97,8/8/2024
L1849,S1380,9,6,49,26,10/6/2025
L1850,S3385,8,1,11,103,1/1/2025
L1851,S7018,13,6,49,77,7/26/2024
L1852,S12112,4,4,42,57,4/8/2025
L1853,S11527,12,5,40,107,6/4/2024
L1854,S5104,14,2,8,23,5/2/2025
L1855,S13877,2,3,43,50,2/11/2024
L1856,S2967,10,9,31,14,10/9/2024
L1857,S7410,5,7,46,116,5/20/2025
L1858,S6139,7,8,9,95,6/20/2024
L1859,S1969,9,2,29,23,5/10/2024
L1860,S10255,3,1,48,105,10/8/2025
L1861,S7462,3,8,26,37,8/8/2024
L1862,S2557,11,1,25,48,2/18/2024
L1863,S12056,12,9,36,43,6/4/2025
L1864,S14782,2,5,34,31,1/23/2025
L1865,S7108,1,3,21,82,2/21/2025
L1866,S5768,15,3,21,31,3/21/2025
L1867,S13448,3,4,31,99,5/23/2024
L1868,S6303,11,4,27,23,6/1/2024
L1869,S8011,13,1,18,44,8/28/2024
L1870,S3755,11,1,17,75,7/28/2025
L1871,S3505,7,8,24,101,4/7/2024
L1872,S2809,13,2,31,101,9/10/2025
L1873,S7137,3,5,44,103,3/29/2025
L1874,S13270,12,8,31,94,8/1/2025
L1875,S9149,10,6,47,44,4/10/2024
L1876,S11891,11,6,38,53,1/16/2024
L1877,S9124,14,7,31,105,9/1/2025
L1878,S6280,4,5,12,59,6/28/2025
L1879,S12315,16,9,48,14,5/5/2024
L1880,S7488,12,6,26,11,9/6/2025
L1881,S12199,10,9,31,89,11/11/2024
L1882,S14050,5,4,42,67,9/22/2024
L1883,S6958,13,7,38,111,3/26/2025
L1884,S6808,12,6,5,74,6/2/2024
L1885,S3458,10,6,37,37,3/2/2025
L1886,S11189,7,5,35,28,11/7/2024
L1887,S13557,2,7,9,117,9/14/2024
L1888,S14413,14,3,49,55,2/8/2024
L1889,S5928,6,9,48,103,9/4/2024
L1890,S5809,11,9,17,105,6/19/2025
L1891,S7184,7,7,26,47,8/16/2024
L1892,S12486,5,4,10,34,10/20/2024
L1893,S9526,8,4,49,30,3/24/2025
L1894,S4497,12,6,23,37,1/12/2024
L1895,S2723,7,7,27,73,5/15/2025
L1896,S5058,12,1,33,68,5/28/2024
L1897,S8352,2,2,17,72,11/7/2024
L1898,S2842,6,6,26,111,3/21/2025
L1899,S8757,13,9,6,95,8/3/2024
L1900,S2595,1,3,43,56,7/1/2025
L1901,S7416,13,4,8,27,10/4/2025
L1902,S4763,10,3,21,30,2/27/2024
L1903,S2881,4,3,38,35,7/31/2024
L1904,S4397,3,9,26,43,2/21/2025
L1905,S9068,16,2,7,110,7/16/2024
L1906,S4810,9,1,46,84,6/1/2025
L1907,S7726,16,7,9,45,1/19/2025
L1908,S14154,8,5,5,46,6/24/2024
L1909,S6147,13,8,46,78,9/26/2025
L1910,S9067,14,6,41,73,10/19/2024
L1911,S9441,7,9,44,61,9/5/2024
L1912,S11262,9,2,38,16,9/6/2024
L1913,S7382,8,5,5,89,4/20/2025
L1914,S2098,5,7,5,49,8/18/2024
L1915,S7356,12,4,23,93,3/22/2024
L1916,S8922,9,3,14,18,10/3/2025
L1917,S14839,12,5,17,95,11/24/2024
L1918,S6818,14,2,20,77,9/28/2025
L1919,S6251,8,6,48,105,10/27/2024
L1920,S3582,8,4,43,73,9/23/2024
L1921,S5818,6,6,49,56,9/11/2024
L1922,S1315,9,6,10,46,8/31/2024
L1923,S13849,6,2,19,111,9/23/2025
L1924,S12994,16,9,38,55,7/25/2024
L1925,S14074,6,7,46,20,9/29/2024
L1926,S5877,14,9,28,65,4/18/2025
L1927,S12550,8,9,32,65,6/25/2024
L1928,S1990,4,8,24,82,5/10/2024
L1929,S12903,10,9,17,77,5/23/2024
L1930,S2568,11,7,36,58,10/14/2025
L1931,S10833,6,7,19,100,2/7/2025
L1932,S12407,8,1,13,28,12/31/2024
L1933,S13395,4,2,27,82,12/4/2024
L1934,S2811,6,6,39,77,1/19/2025
L1935,S1936,11,5,34,11,2/4/2025
L1936,S6457,10,3,17,91,10/15/2025
L1937,S11077,4,6,37,17,11/22/2024
L1938,S7892,3,3,44,81,7/21/2024
L1939,S9679,16,3,28,89,2/4/2024
L1940,S4140,10,2,39,67,6/22/2025
L1941,S5187,12,8,15,20,1/18/2024
L1942,S1499,1,6,46,37,4/15/2024
L1943,S2656,14,9,43,108,7/12/2024
L1944,S4261,3,9,34,109,7/11/2025
L1945,S9341,12,4,33,110,3/29/2025
L1946,S1105,6,1,21,100,7/15/2024
L1947,S7424,9,6,40,16,10/28/2024
L1948,S14815,8,5,37,101,11/19/2024
L1949,S3008,15,6,28,71,11/11/2024
L1950,S1799,6,2,45,118,10/10/2025
L1951,S10659,14,1,22,107,12/1/2024
L1952,S4292,15,1,41,81,6/21/2025
L1953,S7031,16,2,29,26,5/29/2024
L1954,S12223,3,4,27,73,4/14/2025
L1955,S12793,15,6,18,23,8/21/2025
L1956,S11614,14,2,49,31,7/8/2024
L1957,S13308,8,8,33,107,9/18/2025
L1958,S6461,2,9,35,26,9/18/2024
L1959,S10606,12,3,34,86,10/14/2025
L1960,S5939,2,2,44,95,6/29/2025
L1961,S7132,1,6,16,84,3/21/2024
L1962,S10841,7,4,11,96,10/23/2024
L1963,S4893,14,3,39,48,4/15/2025
L1964,S6706,13,1,8,99,9/11/2025
L1965,S12336,16,9,40,34,9/26/2025
L1966,S13355,14,4,46,44,4/26/2025
L1967,S5792,8,2,34,84,8/13/2025
L1968,S8870,2,1,13,34,9/13/2024
L1969,S9800,10,2,34,51,7/8/2025
L1970,S2921,2,1,6,59,9/23/2025
L1971,S2890,9,3,26,34,3/24/2025
L1972,S5420,15,5,46,68,11/28/2024
L1973,S4759,9,9,30,20,7/3/2025
L1974,S11225,2,3,35,110,3/10/2024
L1975,S14833,13,3,7,84,8/18/2025
L1976,S9623,14,1,40,68,12/4/2024
L1977,S7417,9,3,30,47,8/31/2025
L1978,S13637,7,5,48,116,1/23/2024
L1979,S14818,7,6,28,102,1/30/2024
L1980,S6202,9,6,34,62,4/28/2025
L1981,S4704,5,4,23,74,12/25/2024
L1982,S8582,12,9,28,48,1/21/2025
L1983,S3745,1,5,23,73,1/22/2024
L1984,S2423,14,5,30,50,8/30/2025
L1985,S2679,8,8,8,24,7/3/2025
L1986,S8717,15,5,11,88,4/10/2024
L1987,S12821,9,7,43,79,2/16/2024
L1988,S10878,3,6,29,36,2/5/2025
L1989,S12185,6,8,9,45,4/15/2024
